"Owners","LicenseNumber","BusinessName","Status","IssueDate","RenewDate","ExpireDate","HasTelemedicine","PhysicalCity","PhysicalCountry","PhysicalLine1","PhysicalLine2","PhysicalState","PhysicalZip","PhysicalZipPlus","MailingCity","MailingCountry","MailingLine1","MailingLine2","MailingState","MailingZip","MailingZipPlus"
"Chanpheng Miller",2223905,"Pen's Oceanview Cabin","Active",10/19/2025,,12/31/2027,"No","Anchorage","UNITED STATES","628 W 75th Ave",,"AK","99518",,"Anchorage","UNITED STATES","628 W 75th Ave",,"AK","99518",
"Austin Pangelinan",2223906,"Chill Boi Creations","Active",10/19/2025,,12/31/2026,"No","Anchorage","UNITED STATES","7430 Bearfoot Circle","Apt 3","AK","99502",,"Anchorage","UNITED STATES","7430 Bearfoot Circle","Apt 3","AK","99502",
"Tabitha Turner",2223907,"Stitches by Tabitha","Active",10/19/2025,,12/31/2027,"No","Homer","UNITED STATES","64715 diamond ridge rd ","Unit B","AK","99603",,"Homer","UNITED STATES","Po box 755",,"AK","99603",
"Chasity Alexander",2223908,"Chasitys Tidy Touch ","Active",10/19/2025,,12/31/2026,"No","Kenai","UNITED STATES","235 Phillips Dr",,"AK","99611",,"Kenai","UNITED STATES","235 Phillips Dr",,"AK","99611",
"Forget Me Not Wellness, LLC",2223909,"Forget Me Not Wellness","Active",10/19/2025,,12/31/2026,"No","Soldotna","UNITED STATES","30425 Naomi St",,"AK","99669",,"Kodiak","UNITED STATES","PO Box 92",,"AK","99615",
"HeroLinked LLC",2223910,"HeroLinked","Active",10/19/2025,,12/31/2027,"No","Anchorage","UNITED STATES","1577 C St","Ste 105","AK","99501","5127","Anchorage","UNITED STATES","1577 C St","Ste 105","AK","99501","5127"
"Cirrus Properties, LLC",2223911,"Cirrus Properties","Active",10/19/2025,,12/31/2027,"No","Anchorage","UNITED STATES","9135 Lakehurst Dr.","Unit 1","AK","99502",,"Anchorage","UNITED STATES","9135 Lakehurst Dr.","Unit 1","AK","99502",
"Melanie Wholecheese",2223912,"Ambrose/Wholecheese Sales & Services ","Active",10/19/2025,,12/31/2027,"No","Allakaket ","UNITED STATES","Hilltop Road #2",,"AK","99720",,"Allakaket","UNITED STATES","PO Box 98",,"AK","99720",
"Simon Shelton ",2223913,"Northland Services ","Active",10/19/2025,,12/31/2026,"No","Homer","UNITED STATES","2161 east end rd ","Apt 11","AK","99603",,"Homer","UNITED STATES","2161 east end rd ","Apt 11","AK","99603",
"Shantel Selman",2223914,"Ak Spun","Active",10/19/2025,,12/31/2026,"No","Anchorage","UNITED STATES","4455 Juneau st ",,"AK","99503",,"Anchorage","UNITED STATES","4455 Juneau st",,"AK","99508",
"LaDonna Gundersen; Ole Gundersen;",2223915," LADONNA ROSE PUBLISHING","Active",10/19/2025,,12/31/2026,"No","Ketchikan","UNITED STATES","3250 Denali Avenue - 50",,"AK","99901",,"Ward Cove","UNITED STATES","P.O. Box 1200",,"AK","99928",
"Vienna Schrier",2223916,"Vienna's Organization Services","Active",10/19/2025,,12/31/2026,"No","Anchorage","UNITED STATES","6937 Gemini Drive",,"AK","99504",,"Anchorage","UNITED STATES","6937 Gemini Drive",,"AK","99504",
"Lee Yale",2223917,"Wood House Bakery","Active",10/19/2025,,12/31/2026,"No","Fairbanks","UNITED STATES","782 Bennett Road",,"AK","99712",,"Fairbanks ","UNITED STATES","Po box10329",,"AK","99710",
"Lift Lab LLC",2223918,"Lift Lab LLC","Active",10/19/2025,,12/31/2027,"No","Anchorage","UNITED STATES","4819 Klamath Falls Ln",,"AK","99517",,"Anchorage","UNITED STATES","4819 Klamath Falls Ln",,"AK","99517",
"COZY CARE HAVEN ASSISTED LIVING HOME, LLC",2223919,"Cozy Care Haven Assisted Living Home, LLC","Active",10/19/2025,,12/31/2027,"No","ANCHORAGE","UNITED STATES","1640 VASHON CIR",,"AK","99515",,"ANCHORAGE","UNITED STATES","1640 VASHON CIR",,"AK","99515",
"Real Alaska Tours LLC",2223920,"Valor Charter Bus Co ","Active",10/19/2025,,12/31/2026,"No","Anchorage ","UNITED STATES","1227 W 9th Ave","STE 301","AK","99501",,"Anchorage ","UNITED STATES","1227 W 9th Ave","STE 301","AK","99501",
"Polynesian Investments LLC",2223921,"Arctic Nutrients","Active",10/19/2025,,12/31/2026,"No","FAIRBANKS","UNITED STATES","1628 MaryAnn St.","Apt C","AK","99701",,"FAIRBANKS","UNITED STATES","P.O. Box 74443",,"AK","99707",
"TLF Holdings LLC",2223922,"Northline Lodging","Active",10/19/2025,,12/31/2027,"No","Palmer","UNITED STATES","1403 E. Hidden Ranch Loop",,"AK","99645",,"Palmer","UNITED STATES","1403 E. Hidden Ranch Loop",,"AK","99645",
"Geordie Carroll",2223923,"Interior Family Hosting Co.","Active",10/19/2025,,12/31/2026,"No","Fairbanks","UNITED STATES","2004 Rickert St",,"AK","99701","6541","Fairbanks","UNITED STATES","2004 Rickert Street",,"AK","99701","6541"
"Johnson TSANG",2223924,"MATANUSKA5D","Active",10/20/2025,,12/31/2026,"No","Sutton-Alpine","UNITED STATES","30820 W GLENN HWY",,"AK","99674",,"Sutton-Alpine","UNITED STATES","30820 W GLENN HWY",,"AK","99674",
"Nord Solutions, LLC",2223925,"Nord Solutions, LLC","Active",10/20/2025,,12/31/2026,"No","Wasilla","UNITED STATES","5417 Riverrush Drive",,"AK","99623",,"Wasilla","UNITED STATES","5417 Riverrush Drive","1357 N Williwaw Way","AK","99623",
"The Zen Turtle, LLC",2223926,"The Zen Turtle, LLC","Active",10/20/2025,,12/31/2026,"No","Fairbanks","UNITED STATES","409 Merhar Ave",,"AK","99701",,"Fairbanks","UNITED STATES","PO Box 10924",,"AK","99710",
"Solar Rae Properties LLC",2223927,"Solar Rae Properties LLC","Active",10/20/2025,,12/31/2026,"No","ANCHORAGE","UNITED STATES","7800 HOMER DR 1A",,"AK","99518",,"Eagle River","UNITED STATES","16827 Park Place St","26","AK","99577",
"Total Fire Protection, Inc.",2223928,"Total Fire Protection, Inc.","Active",10/20/2025,,12/31/2027,"No","Grand Rapids","UNITED STATES","5385 Patterson Ave SE","Suite C","MI","49512","9530","Grand Rapids","UNITED STATES","5385 Patterson Ave SE","Suite C","MI","49512","9530"
"BrandSafway Services LLC",2223929,"Safway Services ","Active",10/20/2025,,12/31/2027,"No","FAIRFIELD","UNITED STATES","535 Watt Dr. Ste A ",,"CA","94534","1790","FAIRFIELD","UNITED STATES","535 Watt Dr. Ste A",,"CA","94534","1790"
"Dale  Collins; Mary Collins;",2223930,"South Tongass Rentals","Active",10/20/2025,,12/31/2027,"No","Ketchikan","UNITED STATES","4212 South Tongass Hwy",,"AK","99901",,"Ketchikan","UNITED STATES","4212 South Tongass Hwy",,"AK","99901",
"MODEVO LLC",2223931,"MODEVO LLC","Active",10/20/2025,,12/31/2026,"No","HERBORN, HESSEN 35745","GERMANY","WESTERWALD STRASSE 1",,,"","","HERBORN, HESSEN 35745","GERMANY","WESTERWALD STRASSE 1",,,"",""
"BRISTOL WAVE SEAFOODS, LLC",2223932,"Bristol Wave","Active",10/20/2025,,12/31/2027,"No","Seattle","UNITED STATES","641 W Ewing St",,"WA","98119",,"Anchorage","UNITED STATES","111 W. 16th Ave., Ste. 400",,"AK","99501",
"BRISTOL WAVE SEAFOODS, LLC",2223933,"Bristol Wave Seafoods","Active",10/20/2025,,12/31/2027,"No","Seattle","UNITED STATES","641 W Ewing St",,"WA","98119",,"Anchorage","UNITED STATES","111 W. 16th Ave., Ste. 400",,"AK","99501",
"E Ann Kaiser",2223934,"Ann Kaiser Creations","Active",10/20/2025,,12/31/2026,"No","Girdwood ","UNITED STATES","892 Timberline",,"AK","99587",,"Girdwood ","UNITED STATES","P.O. Box 1072",,"AK","99587",
"Clipper Surprise, LLC",2223935,"Clipper Surprise","Active",10/20/2025,,12/31/2027,"No","Seattle","UNITED STATES","641 W Ewing St",,"WA","98119",,"Anchorage","UNITED STATES","111 W. 16th Ave., Ste. 400",,"AK","99501",
"Ashley Easton",2223936,"Summit Fine Arts Academy ","Active",10/20/2025,,12/31/2026,"No","Wasilla","UNITED STATES","2843 S Avalon Cr","#2","AK","99654",,"Wasilla","UNITED STATES","P.O. Box 879562",,"AK","99687",
"Van Deusen & Associates, Inc.",2223937,"Van Deusen & Associates, Inc. ","Active",10/20/2025,,12/31/2026,"No","East Hanover","UNITED STATES","120 Eagle Rock Avenue, Suite 310",,"NJ","07396",,"East Hanover","UNITED STATES","120 Eagle Rock Avenue, Suite 310",,"NJ","07396",
"South Peninsula Maintenance LLC",2223938,"South Peninsula Maintenance LLC","Active",10/16/2025,,12/31/2027,"No","Homer","UNITED STATES","51055 Trail Mountain Rd",,"AK","99603",,"Homer","UNITED STATES","PO Box 2976",,"AK","99603",
"LNL, LLC",2223939,"LNL, LLC","Active",10/20/2025,,12/31/2027,"No","Cordova","UNITED STATES","1420 Copper River Highway",,"AK","99574",,"Cordova","UNITED STATES","PO Box 2394",,"AK","99574",
"Blake Bousley",2223940,"F/V Prime-Time","Active",10/20/2025,,12/31/2026,"No","Ketchikan","UNITED STATES","1146 Jackson St",,"AK","99901",,"Ketchikan","UNITED STATES","Po Box 8643",,"AK","99901",
"Janet  Schaefer",2223941,"CARE Behavioral Health","Active",10/20/2025,,12/31/2026,"No","Nashville","UNITED STATES","530B Stevenson Street",,"TN","37209",,"Nashville","UNITED STATES","530B Stevenson Street",,"TN","37209",
"Laura Delgado",2223942,"Strait Strategy","Active",10/20/2025,,12/31/2026,"No","Eagle River","UNITED STATES","13122 Old Glenn Hwy #13",,"AK","99577",,"Eagle River","UNITED STATES","13122 Old Glenn Hwy #13",,"AK","99577",
"Ernst Siemoneit, PE LLC",2223943,"Ernst Siemoneit, PE LLC","Active",10/20/2025,,12/31/2026,"No","Fairbanks","UNITED STATES","930 Chena Ridge Rd.",,"AK","99709",,"Fairbanks","UNITED STATES","PO Box 84956","PO Box 84956","AK","99708",
"The Toro Company (Alaska)",2223944,"The Toro Company","Active",10/20/2025,,12/31/2026,"No","Bloomington","UNITED STATES","8111 LYNDALE AVENUE SOUTH",,"MN","55420",,"Bloomington","UNITED STATES","8111 LYNDALE AVENUE SOUTH",,"MN","55420",
"Jack Preston",2223945,"Action Guiding Services","Active",10/20/2025,,12/31/2027,"No","Wasilla","UNITED STATES","2120 E Wolverine cir",,"AK","99654",,"Palmer","UNITED STATES","1150 S Colony Way ","ste 3 Box 725","AK","99645",
"CC Garage LLC",2223946,"CC Garage LLC ","Active",10/20/2025,,12/31/2026,"No","Anchorage","UNITED STATES","821 N ST STE 102",,"AK","99501",,"Anchorage","UNITED STATES","821 N ST STE 102",,"AK","99501",
"Lilac Assisted Living Home LLC",2223947,"Lilac Assisted Living Home","Active",10/20/2025,,12/31/2026,"No","ANCHORAGE","UNITED STATES","7521 Wade Cir",,"AK","99518",,"Anchorage","UNITED STATES","1740 W 99TH AVE",,"AK","99515",
"David Hartman",2223948,"David Hartman Signs ","Active",10/20/2025,,12/31/2026,"No","Homer ","UNITED STATES","60296 Bench Circle ",,"AK","99603",,"Homer ","UNITED STATES","60296 Bench Circle ",,"AK","99603",
"Ryan LaFaye Real Estate LLC",2223949,"Ryan LaFaye Real Estate LLC","Active",10/20/2025,,12/31/2026,"No","Homer","UNITED STATES","67268 Endless View Loop",,"AK","99603",,"Homer","UNITED STATES","67268 Endless View Loop",,"AK","99603",
"Pacific Edge LLC ",2223950,"pacific edge llc","Active",10/20/2025,,12/31/2027,"No","palmer ","UNITED STATES","21642 e midnight dr ",,"AK","99645",,"palmer ","UNITED STATES","21642 e midnight dr ",,"AK","99645",
"Laura Ferguson",2223951,"Knik Glacier Aurora Gallery","Active",10/20/2025,,12/31/2027,"No","Palmer","UNITED STATES","21766 E. Midnight Drive",,"AK","99645",,"Palmer","UNITED STATES","PO Box 2729",,"AK","99645",
"Northern Bloom Health and Wellness, LLC",2223952,"Northern Bloom Health and Wellness, LLC","Active",10/20/2025,,12/31/2027,"Yes","Palmer","UNITED STATES","1901 N HEMMER RD STE 208",,"AK","99645",,"Palmer","UNITED STATES","1901 N HEMMER RD STE 208",,"AK","99645",
"GOLD INDIAN LLC",2223953,"Gold Indian LLC","Active",10/20/2025,,12/31/2027,"No","Homer","UNITED STATES","4602 Alm Lane",,"AK","99603",,"Homer","UNITED STATES","818 Smokey Bay Way","#161","AK","99603",
"MJ Nail & Lash Inc",2223954,"MJ Nails & Lashes","Active",10/20/2025,,12/31/2027,"No","ANCHORAGE","UNITED STATES","2210 EAST NORTHERN LIGHTS BLVD","SUITE 111","AK","99508",,"ANCHORAGE","UNITED STATES","2210 EAST NORTHERN LIGHTS BLVD","SUITE 111","AK","99508",
"Ewing Street Fisheries, LLC",2223955,"Clipper Epic","Active",10/20/2025,,12/31/2027,"No","Seattle","UNITED STATES","641 W Ewing St",,"WA","98119",,"Anchorage","UNITED STATES","111 W. 16th Ave., Ste. 400",,"AK","99501",
"S & D Services LLC",2223956,"S & D Services LLC","Active",10/20/2025,,12/31/2027,"No","Anchorage ","UNITED STATES","4142 Patterson Street #1",,"AK","99504",,"Anchorage ","UNITED STATES","4142 Patterson Street #1",,"AK","99504",
"Fathom Consulting LLC",2223957,"Fathom Consulting LLC","Active",10/20/2025,,12/31/2026,"No","Sitka","UNITED STATES","114 Wolff Dr",,"AK","99835",,"Sitka","UNITED STATES","114 Wolff Dr",,"AK","99835",
"Z Squared Studio LLC",2223958,"Z Squared Studio LLC","Active",10/20/2025,,12/31/2026,"No","Juneau","UNITED STATES","3725 Portage Blvd",,"AK","99801",,"Juneau","UNITED STATES","3725 Portage Blvd",,"AK","99801",
"Calm Waters Counseling, LLC",2223960,"Calm Waters Counseling, LLC","Active",10/20/2025,,12/31/2027,"Yes","Ketchikan","UNITED STATES","1258 Millar St",,"AK","99901",,"Ketchikan","UNITED STATES","1258 Millar St",,"AK","99901",
"Annie Lee Keller",2223961,"Block by Block Alaska","Active",10/20/2025,,12/31/2027,"No","Palmer","UNITED STATES","880 N Tina Lane",,"AK","99645",,"Eagle River","UNITED STATES","PO Box 772823",,"AK","99577",
"Frontier Mariner, LLC",2223962,"Frontier Mariner","Active",10/20/2025,,12/31/2027,"No","Seattle","UNITED STATES","641 W Ewing St",,"WA","98119",,"Anchorage","UNITED STATES","111 W. 16th Ave., Ste. 400",,"AK","99501",
" Nathanael Meyer",2223963,"Meyer Bookkeeping","Active",10/20/2025,,12/31/2026,"No","Fairbanks","UNITED STATES","1428 Birchwillow Dr #1",,"AK","99712",,"Fairbanks","UNITED STATES","1428 Birchwillow Dr #1",,"AK","99712",
"Frontier Spirit, LLC",2223964,"Frontier Spirit","Active",10/20/2025,,12/31/2027,"No","Seattle","UNITED STATES","641 W Ewing St",,"WA","98119",,"Anchorage","UNITED STATES","111 W. 16th Ave., Ste. 400",,"AK","99501",
"The Ninth, LLC",2223965,"The Ninth, LLC","Active",10/20/2025,,12/31/2027,"No","Cottonwood Heights","UNITED STATES","1317 E Milne Lane",,"UT","84047",,"Anchorage","UNITED STATES","821 N ST STE 102",,"AK","99501",
"Emily Lee",2223966,"Emily Lee Bookkeeping","Active",10/20/2025,,12/31/2026,"No","Wasilla","UNITED STATES","6701 E Homebuilt Cir",,"AK","99654",,"Wasilla","UNITED STATES","6701 E Homebuilt Cir ",,"AK","99654",
"Struct, Inc",2223967,"struct","Active",10/20/2025,,12/31/2027,"No","Juneau","UNITED STATES","210 Admiral Way",,"AK","99801",,"Juneau","UNITED STATES","PO Box 20317",,"AK","99802",
"New Blue Attu, LLC",2223968,"Blue Attu","Active",10/20/2025,,12/31/2027,"No","Seattle","UNITED STATES","641 W Ewing St",,"WA","98119",,"Anchorage","UNITED STATES","111 W. 16th Ave., Ste. 400",,"AK","99501",
"Johanna  Hubbard",2223969,"Alaakan Joe","Active",10/20/2025,,12/31/2026,"No","Ketchikan","UNITED STATES","332 chandler rd",,"AK","99901",,"Ward Cove ","UNITED STATES","Po box 1093",,"AK","99928",
"Marcus Spencer",2223970,"Alaska Bearpaw Massage & Bodyworks","Active",10/20/2025,,12/31/2027,"No","anchorage","UNITED STATES","4150 galactica dr",,"AK","99517",,"anchorage","UNITED STATES","4150 galactica dr",,"AK","99517",
"New Blue Gadus, LLC",2223971,"Blue Gadus","Active",10/20/2025,,12/31/2027,"No","Seattle","UNITED STATES","641 W Ewing St",,"WA","98119",,"Anchorage","UNITED STATES","111 W. 16th Ave., Ste. 400",,"AK","99501",
"ARCTIC WOLF LODGE, LLC",2223972,"ARCTIC WOLF LODGE","Active",10/20/2025,,12/31/2027,"No","SOLDOTNA","UNITED STATES","34175 KEYSTONE DRIVE",,"AK","99669",,"SOLDOTNA","UNITED STATES","34175 KEYSTONE DRIVE",,"AK","99669",
"Northmost Properties LLC",2223973,"Alaska Vacay Homes","Active",10/20/2025,,12/31/2027,"No","Fairbanks","UNITED STATES","735 El Rancho Lane",,"AK","99712",,"Fairbanks","UNITED STATES","735 El Rancho Lane",,"AK","99712",
"Really New Blue North, LLC",2223974,"Blue North","Active",10/20/2025,,12/31/2027,"No","Seattle","UNITED STATES","641 W Ewing St",,"WA","98119",,"Anchorage","UNITED STATES","111 W. 16th Ave., Ste. 400",,"AK","99501",
"Frontier Explorer, LLC",2223975,"Frontier Explorer","Active",10/20/2025,,12/31/2027,"No","Seattle","UNITED STATES","641 W Ewing St",,"WA","98119",,"Anchorage","UNITED STATES","111 W. 16th Ave., Ste. 400",,"AK","99501",
"Edward Mallek",2223976,"Survey Air Alaska","Active",10/20/2025,,12/31/2026,"No","Fairbanks","UNITED STATES","3181 Anella Ave",,"AK","99709",,"Fairbanks","UNITED STATES","PO Box 82452",,"AK","99708",
"Fairbanks Esthetics Studios LLC",2223977,"Fairbanks Esthetics Studios LLC","Active",10/20/2025,,12/31/2026,"No","Fairbanks","UNITED STATES","206 Barnette st",,"AK","99701",,"Fairbanks","UNITED STATES","206 Barnette st",,"AK","99701",
"Spruce Rental Properties LLC",2223978,"Spruce Rental Properties LLC","Active",10/20/2025,,12/31/2026,"No","Fairbanks","UNITED STATES","607 Old Steese Hwy Ste B #135",,"AK","99701",,"Fairbanks","UNITED STATES","607 Old Steese Hwy Ste B #135",,"AK","99701",
"Archangel Storage LLC",2223979,"Archangel Storage","Active",10/20/2025,,12/31/2027,"No","Houston","UNITED STATES","11810 W Lakeway Loop",,"AK","99654",,"Willow","UNITED STATES","PO BOX 221",,"AK","99688",
"DRC Operations LLC",2223980,"Pharaoh's Card Emporium","Active",10/20/2025,,12/31/2026,"No","Wasilla","UNITED STATES","1375 E Parks Hwy #D",,"AK","99654",,"Wasilla","UNITED STATES","1375 E Parks Hwy #D",,"AK","99654",
"Giggling Fox, LLC",2223981,"Giggling Fox, LLC","Active",10/20/2025,,12/31/2027,"No","Anchorage","UNITED STATES","4205 Chess Drive",,"AK","99508",,"Anchorage","UNITED STATES","4205 Chess Drive",,"AK","99508",
"Outer Atlas LLC",2223982,"The Moosetide Hotel","Active",10/20/2025,,12/31/2026,"No","Homer","UNITED STATES","147 E. Pioneer Ave.",,"AK","99603",,"Homer","UNITED STATES","147 E. Pioneer Ave.",,"AK","99603",
"VerteBreak LLC",2223983,"The Interior Comedy Project","Active",10/20/2025,,12/31/2027,"No","Fairbanks","UNITED STATES","1221 Viewpointe Dr",,"AK","99709",,"Fairbanks","UNITED STATES","PO Box 60571",,"AK","99706",
"Xontippie Whittington",2223984,"Rogers-Carter Rentals","Active",10/20/2025,,12/31/2026,"No","Wasilla","UNITED STATES","1182 W Lone Cub DR","APT - C","AK","99654",,"Wasilla","UNITED STATES","1182 W Lone Cub DR","APT - C","AK","99654",
"Greg Sterle",2223985,"Sterle Services","Active",10/20/2025,,12/31/2027,"No","North Pole","UNITED STATES","2870 Garnet Drive",,"AK","99705",,"North Pole","UNITED STATES","P.O. Box 56849",,"AK","99705",
"Courtney james-smith",2223986,"DearYou Bakery","Active",10/20/2025,,12/31/2026,"No","ANCHORAGE","UNITED STATES","6948 Cape Lisburne loop",,"AK","99504",,"ANCHORAGE","UNITED STATES","6948 Cape Lisburne loop",,"AK","99504",
"Craig Kuntz",2223987,"Cordova Lumber ","Active",10/20/2025,,12/31/2027,"No","Cordova","UNITED STATES","Lot 26a Whitshed road",,"AK","99574",,"Cordova","UNITED STATES","Po Box 1262",,"AK","99574",
"Travis Sutton",2223988,"Aurora Pacific","Active",10/20/2025,,12/31/2026,"No","Anchorage","UNITED STATES","3300 Arctic Blvd ","Suite 201 #1271","AK","99503",,"Anchorage","UNITED STATES","3300 Arctic Blvd ",". Suite 201 #1271","AK","99503",
"Alaskan Radiant Massage LLC",2223989,"Alaskan Radiant Massage ","Active",10/20/2025,,12/31/2026,"No","Anchorage","UNITED STATES","821 N St ","STE 102","AK","99501",,"Anchorage","UNITED STATES","821 N St ","STE 102","AK","99501",
"Zackary Prouty",2223990,"Valley Auto & Truck Repair","Active",10/20/2025,,12/31/2026,"No","WASILLA","UNITED STATES","6940 W JOES DR",,"AK","99623",,"Wasilla","UNITED STATES","718 N Peck St",,"AK","99654",
"Dustin Kilborn",2223991,"Osprey Sales and Services","Active",10/20/2025,,12/31/2027,"No","Anchorage","UNITED STATES","2825 Wendy's Way",,"AK","99517",,"Anchorage","UNITED STATES","2825 Wendy's Way",,"AK","99517",
"ACCURATE TRANSLATION BUREAU INC.",2223992,"ACCURATE TRANSLATION BUREAU INC.","Active",10/21/2025,,12/31/2026,"No","Anchorage","UNITED STATES","821 N St ","Suite 102","AK","99501",,"Orland Park ","UNITED STATES","PO Box 3311",,"IL","60462",
"Nord Consulting, LLC",2223993,"Nord Consulting, LLC","Active",10/21/2025,,12/31/2026,"No","Wasilla","UNITED STATES","1359 N Williwaw Way",,"AK","99654",,"Wasilla","UNITED STATES","1359 N Williwaw Way",,"AK","99654",
"ACRISURE MORTGAGE, LLC",2223994,"Acrisure Mortgage","Active",10/21/2025,,12/31/2026,"No","Orlando","UNITED STATES","189 South Orange Avenue, Suite 970",,"FL","32801",,"Grand Rapids","UNITED STATES","100 Ottawa Ave SW",,"MI","49503",
"Alpha and Omega Construction Services, LLC",2223995,"Alpha and Omega Construction Services, LLC","Active",10/21/2025,,12/31/2026,"No","Wasilla","UNITED STATES","401 N Main Street","#871268","AK","99687",,"Wasilla","UNITED STATES","PO Box 871268",,"AK","99687",
"ACRISURE MORTGAGE, LLC",2223996,"Acrisure Mortgage Direct","Active",10/21/2025,,12/31/2026,"No","Orlando","UNITED STATES","189 South Orange Avenue, Suite 970",,"FL","32801",,"Grand Rapids","UNITED STATES","100 Ottawa Ave SW",,"MI","49503",
"ACRISURE MORTGAGE, LLC",2223997,"FBC Mortgage ","Active",10/21/2025,,12/31/2026,"No","Orlando","UNITED STATES","189 South Orange Avenue, Suite 970",,"FL","32801",,"Grand Rapids","UNITED STATES","100 Ottawa Ave SW",,"MI","49503",
"Acrisure, LLC",2223998,"Signature Consulting Solutions","Active",10/21/2025,,12/31/2026,"No","Grand Rapids","UNITED STATES","100 Ottawa Ave SW",,"MI","49503",,"Grand Rapids","UNITED STATES","100 Ottawa Ave SW",,"MI","49503",
"WHOLESURE SOLUTIONS, LLC",2223999,"Sure Solutions Group","Active",10/21/2025,,12/31/2026,"No","Grand Rapids","UNITED STATES","100 Ottawa Ave SW",,"MI","49503",,"Grand Rapids","UNITED STATES","100 Ottawa Ave SW",,"MI","49503",
"360 Care Medical Group P.A. Corp.",2224000,"360 Care Medical Group P.A. Corp.","Active",10/21/2025,,12/31/2027,"Yes","Wilmington","UNITED STATES","901 N Market St","STE 100","DE","19801",,"Wilmington","UNITED STATES","901 N Market St","STE 100","DE","19801",
"LMB Mortgage Services, Inc.",2224001,"Quicken Loans","Active",10/21/2025,,12/31/2027,"No","Playa Vista","UNITED STATES","12181 Bluff Creek Drive","Suite 250","CA","90094",,"Playa Vista","UNITED STATES","12181 Bluff Creek Drive","Suite 250","CA","90094",
"Great Alaska Council, Boy Scouts of America",2224002,"SCOUTING ALASKA","Active",10/10/2025,,12/31/2027,"No","ANCHORAGE","UNITED STATES","3117 PATTERSON ST",,"AK","99504",,"ANCHORAGE","UNITED STATES","3117 PATTERSON ST",,"AK","99504",
"Hayden  Wendt",2224003,"Haydens Childcare","Active",10/21/2025,,12/31/2026,"No","Kenai","UNITED STATES","52790  WESLEY CT",,"AK","99611",,"Kenai","UNITED STATES","10672 Kenai Spur Hwy#112",,"AK","99611",
"Virtus Strategic Management Group, LLC",2224004,"Virtus Strategic Management Group, LLC","Active",10/21/2025,,12/31/2026,"No","Chugiak","UNITED STATES","22723 Judd Dr",,"AK","99567",,"Chugiak","UNITED STATES","PO Box 670626",,"AK","99567",
"Great View Lane LLC",2224005,"Great View Lane LLC","Active",10/21/2025,,12/31/2027,"No","Fairbanks","UNITED STATES","1359 Great View Lane",,"AK","99712",,"Fairbanks","UNITED STATES","1359 Great View Lane",,"AK","99712",
"SANDRA FORCESKIE",2224006,"THE BASKET CASE","Active",10/14/2025,,12/31/2027,"No","ANCHORAGE","UNITED STATES","4002 LAKEHURST CIR #2",,"AK","99502",,"ANCHORAGE","UNITED STATES","4002 LAKEHURST CIR #2",,"AK","99502",
"Embergrain Studio LLC",2224007,"Embergrain Studio LLC","Active",10/21/2025,,12/31/2027,"No","Anchorage","UNITED STATES","6241 West Tree Dr",,"AK","99507","6912","Anchorage","UNITED STATES","6241 West Tree Dr",,"AK","99507","6912"
"XUYONG TANG",2224008,"TOM EASY RELAX","Active",10/14/2025,,12/31/2027,"No","ANCHORAGE","UNITED STATES","139 W DIMOND BLVD #119",,"AK","99515",,"ANCHORAGE","UNITED STATES","139 W DIMOND BLVD #119",,"AK","99515",
"AUGUSTINIA LLC",2224009,"AUGUSTINIA LLC","Active",10/21/2025,,12/31/2026,"No","ANCHORAGE","UNITED STATES","1029 W 3RD AVE STE 500",,"AK","99501",,"ANCHORAGE","UNITED STATES","1029 W 3RD AVE STE 500",,"AK","99501",
"SCottingham Publishing LLC",2224010,"SCottingham Publishing LLC","Active",10/21/2025,,12/31/2026,"No","North Pole","UNITED STATES","3200 Daphne Ln",,"AK","99705","6745","North Pole","UNITED STATES","3200 Daphne Ln",,"AK","99705","6745"
"TDX Holdings, LLC; TANADGUSIX CORPORATION;",2224011,"BSH","Active",10/21/2025,,12/31/2027,"No","ANCHORAGE","UNITED STATES","3601 C STREET SUITE 1000-11",,"AK","99503",,"Anchorage","UNITED STATES","3601 C Street Suite 1000-38",,"AK","99503",
"Renae Zackar; Gregory Zackar;",2224012,"Greg and Renae's Expediting Service","Active",10/21/2025,,12/31/2027,"No","Anchorage","UNITED STATES","5901 East 6th Avenue","space 359","AK","99504",,"Anchorage","UNITED STATES","5901 East 6th Avenue","space 359 ","AK","99504",
"LEONA SEAL",2224013,"YUPIAQ LANGUAGE HOLDERS","Active",10/14/2025,,12/31/2026,"No","ANCHORAGE","UNITED STATES","4321 THOMPSON AVE #4",,"AK","99508",,"ANCHORAGE","UNITED STATES","4321 THOMPSON AVE #4",,"AK","99508",
"C.R.S. LLC",2224014,"Cold Region Powder Coating","Active",10/21/2025,,12/31/2026,"No","North Pole","UNITED STATES","3019 Repp RD",,"AK","99705",,"North Pole","UNITED STATES","3019 Repp RD",,"AK","99705",
"Aurora Care Home LLC",2224015,"Aurora Care Home LLC","Active",10/21/2025,,12/31/2026,"No","Anchorage","UNITED STATES","3302 Eide St ",,"AK","99503",,"Anchorage","UNITED STATES","POB 111909",,"AK","99511",
"Daylene Rhyner",2224016,"Fresh Nest","Active",10/21/2025,,12/31/2026,"No","Juneau","UNITED STATES","5815 Mountain Ave",,"AK","99801",,"Juneau","UNITED STATES","5815 Mountain Ave",,"AK","99801",
